Brand,Model_Info,Additional_Description,Locality,City,State,Price
1, name0 name234 64gb space grey, 1yesr old mobile number 999two905two99 bill charger,878,8,2,15000
1, phone 7 name42 name453 new condition box accessories, 101004800 1010065900 7000,1081,4,0,18800
1, name0 x 256gb leess used good condition, 1010010000 seperate screen guard 3 back cover brandrealmemodel5 prorelease date20th 1010029900 10100148700 indiayesform factortouchscreendimensions mm15700 x 7420 x 10100148800 g18400battery capacity mah4035fast chargingvooccolourscrystal 1010022100 10100148900 1010011700 display screen size inches630touchscreenyesresolution1080x2340 pixelsprotection typegorilla 10100800 10100149000 processor23ghz octacoreprocessor makequalcomm 101001100 712 aieram8gbinternal storage128gbexpandable storageyesexpandable storage typemicrosdexpandable storage gb256dedicated microsd slotyes 101001600 rear camera48megapixel f18 8megapixel f225 2megapixel f24 2megapixel f224rear autofocusphase detection autofocusrear flashyesfront camera16megapixel f20 1010094100 operating systemandroid 9 pieskincoloros 60 1010021500 wifiyeswifi standards supported80211 abgnacgpsyesbluetoothyes v 500usb otgyesusb typecyesheadphonesyesnumber sims2sim 1sim typenanosimgsmcdmagsm3gyes4g lteyessupports 1010018700 101008500 1010032500 40yessim 2sim typenanosimgsmcdmagsm3gyes4g lteyessupports 1010018700 101008500 1010032500 10100149100 101002100 1010020100 unlockyesfingerprint sensoryescompass magnetometeryesproximity sensoryesaccelerometeryesambient light sensoryesgyroscopeyes,495,11,4,50000
1, name0 6s plus 64 gb space grey, without 1010020100 id 1010010300 colour 10100000 xs 256 gb using since 201118 genuinely 1010055700 condition unopened accessories box 1010012400 piece 101007400 negotiable,287,10,7,16500
1, phone 7 sealed pack brand new factory outet price, 101008700 10100000 xs max 64 gb made 101008500 warranty starts 2 1010010400 2019 ₹76000,342,4,0,26499
1, name0 6 name1694 128gb clean condition, looks 1010035500 101008700 10100000 8 plus 64gb instant 1010010200 ur used 10100102300 please click see profile check devices 1010011300 available 1010095300 card accepted pavit 1010023900 17 10100157400 road opp nike showroom near karachi sweets woodland store camp pune 411001,503,15,5,13800
1, name87 watch name251 3 38 mm gps name119 name183 name62 scratch, one 101009200 3 perfect working condition defects scratches 1010054700 box etc available,940,8,2,17000
2, name271 name1622 note 3gb ram 32gb inbuilt, 10100000 6 101009200 16 gb good condition lighting cable available 1010011300 android phone,651,2,6,5000
1, iphone 732gbcondition new, 10100000 7 32gb 10100248300 condition unused mobile phone seller warranty 2month full new kit available scratches dent used yet mobile¶¶ 10100165300 available interested call 101005100 number 9791137412 10100241600 1010062600 location vadapalani 10100000 exchange models available,42,2,6,21000
1, name0 7 128 gb, 1010011400 101006100 101006200 available accessories available interested 1010017000 free 1010046100,133,1,3,40000
1, need sell iphone 7 32 gb, 101008700 10100000 6 64gb silver accessories bill 600 iphones available 1010095300 1010037800 accepted 1010095300 1010037800 1010011500 available 1010062600 warranty pieces available prices fixed 10100166700 seller profile check available iphones 10100158800 1010023900 opposite intermedia cable communication near 10100159000 police chowkey 10100159100 10100158200 camp 10100158600 411042,397,15,5,21000
1, name0 11 name49 green colour 256 gb indian bill 1 day used, one 101009200 5 10100113200 100 1010014700 condition 2 101003500 1010011400 101006100 accessories offer 1010022600 101009900 1010074500 phone 1010010000 phone 1010054600 1010010000 front back glass protection photos 1010097300 1010011300 1010097400 extra exchange discount available 1010011500 available 1010095300 card accepted bajaj financerv available 1010097500 card financeon spot approval documents finance spot approval 1010097600 provided delivery doorstep available500 token basiswhich refundable product varies description service 1010011400 available doorstep need visit store warranty claimexecutive pick deviceresolve issueredilver yousame day 1 week return policyyou free visit apple 101006600 oneplus care centre verify deviceif thing change defective product return accepted full refund provided 100 quality assurance purchased products delivery booking device photos detailswarranty claim whatsapp olx number call visit time 10 1010043500 10 1010043600 — 100 fixed rate — 1010062500’t call 1010022300 second hand 1010063400 new devices see photos 1010097700 101007400 1010063400 ↓↓↓ follow olx see 1010097800 101005400 1010097900 profile name 1010098000 iworld 2 branchesahmedabad 1010098100 1010098200 details call 1010038400 direct call olx num 101003600 e 1010098300 1010098400 1010083100 410 1010060100 city centre 1010098500 roadnrsachin towersatelliteahmedabad380015,700,0,1,108000
1, iphone 7plus 128gb box acessories, 101008700 iphone 1010041400 1010022900 512gb brand new sealed warranty bill cards accepted colors available 87k,218,2,6,14000
1, name87 phone 7 cash delivery, 101008700 10100000 excellent performance latest models 10100120200 101008500 c 10100000 models also available call 1010016500 10100120300 question 10100120400 given delivery available 10100120200 101008500 1010010200 delivery brand 101005400 1010097000 genuine colors models available 10100120500 hurry 10100120600’s 101006800,211,11,4,9999
1, phone 6s name148 sealed unused brand new, 1010012300 6 32gb 1010095300 card √ 1010011500 available brand new condition√ original accessories available scratch dent√ exchange yet used interested call 1010095400 shop√ doubts call 9791157412 saravanan a√ 1010095300 debit 1010037800 accepted 1010062600 location vadapalani √ 101008700 10100000 macbook ipad mobile 1010097600 done here√,424,2,6,19000
1, name0 6s 16gb urgent sale, 3gb ram 32gb storage 2 year old full working condition,552,13,5,12000
0, name233 10 lite good pone one month lony used, mobile neat condition scratches dents original earphones charger box urgent selling intrested candiates ping cl,122,10,7,9200
1, name87 phone 7 128gb name131 good condition, phone 7 128gb good condition 101006100 charger available phone 1010040400 key working except phone working perfectly,717,4,0,15000
1, special offers name0 top model cod, 101008700 models available accessories box bill latest models available 10100122600 available 101008500 call,328,11,4,18000
1, name87 name0 8 plus 256gb accessories, 101008700 10100000 8 gold 64gb accessories bill box 600 iphones available 1010095300 1010037800 accepted 1010095300 1010037800 1010011500 available 1010062600 warranty pieces available prices fixed 1010095400 fb insta page olx profile 10100158800 1010023900 opposite 10100158900 10100159000 park 10100159100 10100158200 10100158600 10100159200 411042,315,15,5,44500
1, name113 iphone x 64gb att turbo unlock, description,53,10,7,42000
1, phone 6s 64gb space gray color, 101004500 5 urgent sale,593,13,5,14000
1, iphone 7 128gb, description,1017,13,5,19000
1, 2372017 date slleng arjant sell, 6gb ram 128 gb rom condition new brand phone money problem call 8401916521 101001000 101001100 855 processor 1010024600 10100124900 led display high resolution camera,384,0,1,9500
1, name0 5s 16gb rose gold, 1010055700 2 year old iphone 7 128 gb 1010069000 used 1010010300 color,98,4,0,4500
1, iphone 6s 32 gb gold, almost 1 year old totally working best condition 4 gb ram 64gb internal storage phone charger,689,0,1,14000
1, name87 iphone 8 plus brand new condition bill, perfect working conditonvery less used 4 month old mobile warranty also get phone cover phone 101004200 colour sell4gb ram 64 gb internal storage full kit bill box original turbo charger available 1010035500 battery backup 5000 mahfast charging type c port,348,0,1,26500
2, name271 k5 note good condition, brand 101005400 condition good 101005400 101006100 accessories lowest prices 10100159300 visit us 1723 rs 10100169600 1010054300 10100169700 10100164200 opposite 10100170600 10100164200 near 10100170700 1010023000 10100158600 10100159200 01,681,15,5,5000
1, brand new seal packed name0 8 5000, 101009000 price best phones,128,13,5,5000
1, name0 7 128gb red color, 101006600 galaxy m10s 3gb32gb 64inch screen super amoled display brand new sealed piece,904,10,7,18000
1, name0 7 mint condition 32gb, 101008700 10100000 6 64gb brand 101005400 1010012000 available 10100102200 accepted 12k,1086,2,6,15000
1, name0 7 black 32gb accessories, 101008400 note 6 pro 64gb black 10 months old box billcall 998fivetwo7two5eight1,1022,10,7,18000
1, name74 drop name87 name0 name1150 32gb 18000 name42 name156 available name2792, 10100000 6s 16 gb storage around 2 yr old accessories 1010021400 damage 2 lines touch fully functioning damage display,78,8,2,18000
1, iphone 6s space grey 32 gb, 101005400 phone 011,191,8,2,17500
1, name123 decent looking exclusive price name123 xs stylus model, 1010012300 decent looking exclusive price 1010012300 xs stylus model cod india super performance good camera oder 101007800,341,1,3,22500
1, iphone 6s 64gb ios 124, good condition,1060,11,4,10000
1, iphone 8 plus 64gigs great condition, 10100000 x 256 gb less used phn without scratch warrenty till may 2020 pls contact genuine people,534,15,5,37200
1, phone 8 plus 256 gb, 14 month warrenty phone,322,11,4,42000
1, ipad 4th gen 16gb excellent condition, bought mobile reliance digital 1010067700 24 2019 used 101006100 full kit available bought 44000 selling 35000 price slightly negotiable 101008700 warranty available till 2020 1010067700,1107,2,6,13500
0, old honor p20 lite like new condition, like new iphone 7plus accessories 128gb scratch dents 15 year old never went service centre problem serious buyers contact,931,8,2,11000
1, name87 name0 6 16gb storage gray, fixed price 10500 1010011300 cash 10100000 6 101009200 101001400 – 16gb 101004100 – silver 101002200 – working 101006200 – available 101006100 available 1010014300 1010014400 – available,534,15,5,9785
1, name0 8 name75 name103 64gb impeccable condition, yu yureka plus 1010018700 2gb16gb warranty working fine 1010035500 battery backup bill box charger contact 1010070000,387,4,0,24000
1, name0 7 name92 128gb name180 name42 brand name54 condition, 32gb 10100211600 4gb ram please want urgently money chat give discount plz,53,10,7,35000
1, name0 5s 16gb, 11 month age perfect phone complaints 1010014000 earphones used orginal box,476,11,4,5000
